mite ID,zone ID,status,max diff,local diff,recording
mite_0021,dead,dead,12.0,11.333333333333334,3
mite_0021,dead,dead,12.0,11.333333333333334,4
mite_0021,dead,dead,13.0,11.333333333333334,5
mite_0021,dead,dead,11.0,10.666666666666666,6
mite_0021,dead,dead,11.0,10.333333333333334,7
mite_0021,dead,dead,12.0,10.666666666666666,8
mite_0021,dead,dead,12.0,10.666666666666666,9
mite_0021,dead,dead,10.0,10.0,10
mite_0021,dead,dead,11.0,10.333333333333334,11
mite_0021,dead,dead,13.0,11.0,12
mite_0022,alive,dead,12.0,11.0,1
mite_0022,alive,dead,10.0,9.666666666666666,2
mite_0022,alive,dead,12.0,11.0,3
mite_0022,alive,dead,12.0,10.666666666666666,4
mite_0022,alive,dead,11.0,10.333333333333334,5
mite_0022,alive,dead,11.0,10.0,6
mite_0022,alive,alive,37.0,31.666666666666668,7
mite_0022,alive,dead,17.0,14.666666666666666,8
mite_0022,alive,alive,40.0,37.0,9
mite_0022,alive,alive,51.0,47.0,10
mite_0022,alive,alive,27.0,18.666666666666668,11
mite_0022,alive,alive,30.0,23.333333333333332,12
mite_0023,alive,dead,11.0,10.333333333333334,1
mite_0023,alive,dead,11.0,10.666666666666666,2
mite_0023,alive,alive,54.0,49.333333333333336,3
mite_0023,alive,alive,52.0,46.333333333333336,4
mite_0023,alive,alive,47.0,42.333333333333336,5
mite_0023,alive,dead,11.0,10.333333333333334,6
mite_0023,alive,alive,52.0,49.333333333333336,7
mite_0023,alive,alive,42.0,37.333333333333336,8
mite_0023,alive,alive,53.0,49.0,9
mite_0023,alive,alive,51.0,46.333333333333336,10
mite_0023,alive,alive,51.0,48.0,11
mite_0023,alive,alive,29.0,23.0,12
mite_0024,alive,dead,11.0,10.333333333333334,1
mite_0024,alive,dead,11.0,10.333333333333334,2
mite_0024,alive,dead,11.0,10.666666666666666,3
mite_0024,alive,dead,12.0,11.333333333333334,4
mite_0024,alive,dead,13.0,11.0,5
mite_0024,alive,dead,12.0,11.333333333333334,6
mite_0024,alive,dead,12.0,11.333333333333334,7
mite_0024,alive,alive,62.0,49.333333333333336,8
mite_0024,alive,dead,12.0,10.666666666666666,9
